speaker,utterance
B,blah blah blah .
A,yeah mm .
B,"you know, it's like having a roommate ."
A,yeah . yeah .
B,"but . but you got to do what you got to do, right ."
A,mhm . yup . [BREATHES] is there any way you could get . like do they have day jobs . you know +/.
B,[BREATHES] it would be too hard to I wouldn't make enough money .
A,"+, at the restaurant ? &+whi for day care and stuff ."
B,"&+t to pay, yeah it's crazy ."
A,"yeah, that's true . yup . that's right ."
B,and there's &+n really nothing else that I could do .
A,yeah .
B,you know &+dur [BREATHES] and I don't think oh I don't know .
A,yeah .
B,I I'd like not having to work during the day .
A,yeah . yeah .
B,because I &+l .
A,so in a way it works out but it .
B,[BREATHES] yeah .
A,[CHANNEL_NOISE] .
B,it's just hard . and then [BREATHES] he's taking a class another &+cla a class this
A,yeah . yeah .
B,and that starts tomorrow .
A,so .
B,"so, you know, there goes monday nights again ."
A,there's another day . yeah . yeah .
B,so . and it's it's hard eh you know having the kids all day too with
A,yeah .
B,I mean uh I don't know how . how you ever did it but .
A,[CHANNEL_NOISE] . well I was never with them during the day .
B,I just . I get crazy that's true and you had them at night .
A,yeah . yeah . [BREATHES] that's one thing though . just being . around more +/.
B,yeah .
A,"+, has been so nice for us ."
B,yeah . yup .
A,you know . at least for me I don't know if it is for them [LAUGHS] I can't +/.
B,[UNINTELLIGIBLE] . right . [LAUGHS] well they probably hate it [LAUGHS] .
A,"+, speak for them [LAUGHS] ."
B,[BREATHES] . yup .
A,"[BREATHES] . but [BREATHES] you know I &+d I look back and I think of all the when they were babies, you know, when they were just little tiny"
B,"yeah . right even like a bad day with me is, at least it's a bad day with"
A,yeah .
B,you know I'm their mom .
A,yeah[=! child's voice in background] . yep[=! child's coice in background] .
B,but .
A,[UNINTELLIGIBLE] . mhm .
B,so .
A,[UNINTELLIGIBLE] .
B,hopefully I can . [SNIFF] . work a little less .
A,yeah .
B,and then [BACKGROUND_NOISE] .
A,that would be .
B,maybe that will be a little bit better .
A,yeah . [CHANNEL_NOISE] .
B,but . especially I mean you know leaving to go to work at four o'clock is
A,yeah .
B,I'm like ready for a nap .
A,yeah . uhhuh .
B,I want to like be home making supper and .
A,yup .
B,and then and that's when I have to leave .
A,and you have to get up and go and .
B,and go wait on people .
A,yeah . yeah .
B,of all things .
A,yeah [LAUGHS] .
B,my god .
A,[LAUGHS] .
B,[BREATHES] . [BREATHES] watch other people have a nice supper .
A,yeah . shit .
B,it's awful .
A,yup . yuck .
B,and waitressing is . mm .
A,it's hard man I .
B,it's hard work . you know and it's a thankless job &+s if you if you've never waited
A,that's . it is . yeah . mhm .
B,[BREATHES] .
A,yup .
B,you know they just have no clue and .
A,yeah .
B,like . you know I'm not your little fucking servant I'm just .
A,yup . yeah .
B,I'm here to do my job and I'm trying to be nice to you .
A,yup .
B,and .
A,"yeah, don't push it ."
B,right .
A,[LAUGHS] .
B,and of course you can never say things like that .
A,I know yeah . yup .
B,but [=! clears throat] .
A,just have to be [BREATHES] . Suzy smiles and .
B,yup mhm .
A,[UNINTELLIGIBLE] [=! sound of disgust] . 0 . yuck .
B,[LAUGHS] . [BREATHES] .
A,[CHANNEL_NOISE] that's why well whenever we go out I always make that I leave a tip .
B,yeah .
A,you know unless . the service is really lousy .
B,yeah .
A,"and then she knows it, you know, I mean she knew she what she did"
B,mhm . [BACKGROUND_NOISE] right .
A,but if they give any effort at all [SWALLOW] they get a good tip
B,right . yeah .
A,[BREATHES] .
B,yup .
A,"I wouldn't want to have to be doing this right now, so thank you"
B,right . right .
A,[LAUGHS] .
B,exactly .
A,"[LAUGHS] I didn't want to cook tonight so somebody there did,"
B,[LAUGHS] . [BREATHES] yeah .
A,yup [BREATHES] . but [BREATHES] . yeah I don't know .
B,[CHANNEL_NOISE] but we're &+hangi we're hanging in there .
A,are you ?
B,yeah . [BREATHES] yup [=! clears throat] .
A,it's tough though .
B,it is . but . we had a big huge garden this [BACKGROUND_NOISE] year .
A,oh did you ?
B,yeah we made tomato sauce today .
A,oh neat . oh cool .
B,yeah it's . bubbling away on the stove .
A,[CHANNEL_NOISE] . oh bet your house smells wonderful .
B,it smells so good .
A,god .
B,[SIGHS] .
A,[SIGHS] . I just remember your house from when we were there .
B,yeah [BACKGROUND_NOISE] yup [BACKGROUND_NOISE] .
A,I just love that house . that kitchen .
B,yeah [BACKGROUND_NOISE] .
A,[BREATHES] you know the kitchen was the focal point in the whole
B,yup . mhm .
A,[UNINTELLIGIBLE] . comfortable place to settle and you know it was just neat .
B,[BACKGROUND_NOISE] yup . [CHANNEL_NOISE] . and it smells good and .
A,yep [BREATHES] [CHANNEL_NOISE] .
B,I made um . [BREATHES] a couple of times I made bread and butter pickles .
A,oh did you oh good .
