speaker,utterance,relational_score,info_score
M2,[UNINTELLIGIBLE],1,1
M1,They didn't say that in the thing.,2,2
M2,That was weird hhh hhh hhh.,2,1
M1,publicly distributed,2,2
M2,Weird was it.,2,2
M1,I didn't read that.,2,2
M2,laughed.,2,1
M1,"the well, the unintelligible was.",2,2
M2,"Okay, let's not talk about terrorism.",3,2
M1,no: one,2,2
M2,[UNINTELLIGIBLE],2,1
M1,"You know if you're going to get pregnant, you have to.",3,4
M2,"[UNINTELLIGIBLE], [UNINTELLIGIBLE]",2,1
M1,that's not good.,3,2
M2,[UNINTELLIGIBLE],2,1
M1,saw you um-,3,3
M2,No: (slow),2,1
M1,they had this little scene where the guys.,2,2
M2,yes,2,2
M1,you see this scene in Washington.,2,4
M2,Silence,2,1
M1,voice identified identity [!] (deet deet deet deet deet),2,1
M2,[UNINTELLIGIBLE],1,1
M1,"voice, number: blah blo blo blah-ha-ha",2,1
M2,[UNINTELLIGIBLE] [UNINTELLIGIBLE] [UNINTELLIGIBLE] [LAUGH],2,1
M1,you know so it's the nonsense listening in.,2,1
M2,"worked for them, huh? (unclear continuation)",3,2
M1,He was a nice guy.,3,2
M2,"he, well, he used to work for them, yeah.",3,3
M1,What happened to Linda Lee?,3,4
M2,"She just left, um, I guess back in May.",3,3
M1,"she did her two years, then she left.",3,3
M2,"she left a little prematurely, huh, huh, huh, huh.",2,2
M1,ah hah laughed,2,1
M2,"She was unhappy with her advisor, and she ended up not being too happy.",4,4
M1,I saw what a surprise.,2,2
M2,"um, no, she got married. And, um, and they got married in March.",3,4
M1,"laughed ah, ah hah",2,1
M2,she was sort of eager to like leave and.,3,3
M1,yes (hiccup),2,1
M2,live with her husband and [UNINTELLIGIBLE] um.,3,3
M1,"I knew well, I guess her husband wasn't from Pittsburgh.",3,3
M2,She also just.,2,1
M1,correct,2,2
M2,it's not the same guy,2,3
M1,no (heading up),2,1
M2,She actually met him right at the end of graduate school.,3,4
M1,boy [exclamation mark],2,1
M2,"she's at the door now, hi. It's actually our upstairs neighbor. Yes, she met him recently.",3,4
M1,"ah, ha-ha.",2,1
M2,"She just graduated, like, at the end.",3,4
M1,they didn't break up.,2,2
M2,"they'd only been known to each other like for about two months or so. and, no, they didn't break up.",2,3
M1,oh my god,2,2
M2,They continued in a long-distance relationship for the whole.,3,3
M1,[UNINTELLIGIBLE],2,1
M2,[UNINTELLIGIBLE],1,1
M1,That's something [!],2,2
M2,"they said so, um, yeah, then they got married and she also said that she wasn't all happy.",3,4
M1,"Yes, well",3,1
M2,"she started talking about things that rang a bell like every week before going to the meeting with her. Every time she told her, her advisor would tell her, and then come back to the meeting next time, her advisor said, [UNINTELLIGIBLE], who I still won't name in case this is being taped.",3,4
M1,[UNINTELLIGIBLE] hhh hhh [UNINTELLIGIBLE],2,1
M2,psychology research [UNINTELLIGIBLE] (laughter) hhh hhh hhh,3,3
M1,[UNINTELLIGIBLE],3,2
M2,"but I um, but [something unintelligible].",3,2
M1,that may be publicly distributed,2,2
M2,you would have forgotten what she asked her to do the previous week and you know.,3,3
M1,"yes, then if they why didn't you do this.",2,3
M2,everything was always harshly critical,4,4
M1,yes,2,2
M2,"and so, she wasn't very happy",3,2
M1,this and it everything other things (is) well what do you mean is this better or is this better?,3,2
M2,[UNINTELLIGIBLE],3,1
M1,consider all the possibilities and why don't you.,3,3
M2,[UNINTELLIGIBLE],2,1
M1,write the repo then,2,3
M2,[UNINTELLIGIBLE] hhh [UNINTELLIGIBLE] hhh,2,1
M1,"she says - we'll, you know in the report you said this was better.",3,3
M2,[UNINTELLIGIBLE],3,2
M1,point of this is like well the whole thing,3,2
M2,[UNINTELLIGIBLE] . [UNINTELLIGIBLE] [UNINTELLIGIBLE],2,2
M1,thought you were supposed to do what you: thought [UNINTELLIGIBLE] [smiling voice].,3,3
M2,[UNINTELLIGIBLE],3,2
M1,"already knew what I thought, so why did I have to write this out.",3,2
M2,Unintelligible (due to repetitive 'hhh' sounds),2,1
M1,"you know, yeah.",3,1
M2,[UNINTELLIGIBLE] (laughter),2,1
M1,So you want to hear what my job is.,3,3
M2,yes I do desperately (0.2) hhh,3,2
