speaker,utterance,relational_score,info_score
B,blah blah blah .,2,1
A,yeah mm .,3,2
B,"you know, it's like having a roommate .",3,3
A,yeah . yeah .,2,1
B,"but . but you got to do what you got to do, right .",3,2
A,mhm . yup . [BREATHES] is there any way you could get . like do they have day jobs . you know +/.,3,3
B,[BREATHES] it would be too hard to I wouldn't make enough money .,3,3
A,"+, at the restaurant ? &+whi for day care and stuff .",3,2
B,"&+t to pay, yeah it's crazy .",3,3
A,"yeah, that's true . yup . that's right .",3,2
B,and there's &+n really nothing else that I could do .,3,2
A,yeah .,2,1
B,you know &+dur [BREATHES] and I don't think oh I don't know .,3,2
A,yeah .,3,2
B,I I'd like not having to work during the day .,3,4
A,yeah . yeah .,2,1
B,because I &+l .,2,2
A,so in a way it works out but it .,3,2
B,[BREATHES] yeah .,3,1
A,[CHANNEL_NOISE] .,2,1
B,it's just hard . and then [BREATHES] he's taking a class another &+cla a class this,4,3
A,yeah . yeah .,3,2
B,and that starts tomorrow .,3,3
A,so .,2,1
B,"so, you know, there goes monday nights again .",3,2
A,there's another day . yeah . yeah .,2,2
B,so . and it's it's hard eh you know having the kids all day too with,3,3
A,yeah .,3,2
B,I mean uh I don't know how . how you ever did it but .,3,3
A,[CHANNEL_NOISE] . well I was never with them during the day .,2,2
B,I just . I get crazy that's true and you had them at night .,3,3
A,yeah . yeah . [BREATHES] that's one thing though . just being . around more +/.,3,2
B,yeah .,3,1
A,"+, has been so nice for us .",3,2
B,yeah . yup .,2,1
A,you know . at least for me I don't know if it is for them [LAUGHS] I can't +/.,3,3
B,[UNINTELLIGIBLE] . right . [LAUGHS] well they probably hate it [LAUGHS] .,3,2
A,"+, speak for them [LAUGHS] .",3,2
B,[BREATHES] . yup .,2,2
A,"[BREATHES] . but [BREATHES] you know I &+d I look back and I think of all the when they were babies, you know, when they were just little tiny",3,3
B,"yeah . right even like a bad day with me is, at least it's a bad day with",3,3
A,yeah .,3,1
B,you know I'm their mom .,4,4
A,yeah[=! child's voice in background] . yep[=! child's coice in background] .,2,2
B,but .,2,1
A,[UNINTELLIGIBLE] . mhm .,3,1
B,so .,3,1
A,[UNINTELLIGIBLE] .,2,1
B,hopefully I can . [SNIFF] . work a little less .,3,3
A,yeah .,3,2
B,and then [BACKGROUND_NOISE] .,2,1
A,that would be .,3,2
B,maybe that will be a little bit better .,3,2
A,yeah . [CHANNEL_NOISE] .,2,1
B,but . especially I mean you know leaving to go to work at four o'clock is,3,3
A,yeah .,3,2
B,I'm like ready for a nap .,3,2
A,yeah . uhhuh .,2,2
B,I want to like be home making supper and .,3,3
A,yup .,2,1
B,and then and that's when I have to leave .,3,2
A,and you have to get up and go and .,2,1
B,and go wait on people .,3,2
A,yeah . yeah .,2,1
B,of all things .,2,2
A,yeah [LAUGHS] .,3,1
B,my god .,3,2
A,[LAUGHS] .,3,1
B,[BREATHES] . [BREATHES] watch other people have a nice supper .,2,2
A,yeah . shit .,2,2
B,it's awful .,4,3
A,yup . yuck .,2,2
B,and waitressing is . mm .,2,2
A,it's hard man I .,3,2
B,it's hard work . you know and it's a thankless job &+s if you if you've never waited,4,3
A,that's . it is . yeah . mhm .,3,1
B,[BREATHES] .,2,1
A,yup .,2,1
B,you know they just have no clue and .,3,3
A,yeah .,3,1
B,like . you know I'm not your little fucking servant I'm just .,1,5
A,yup . yeah .,2,1
B,I'm here to do my job and I'm trying to be nice to you .,3,3
A,yup .,3,1
B,and .,2,1
A,"yeah, don't push it .",2,2
B,right .,2,1
A,[LAUGHS] .,3,1
B,and of course you can never say things like that .,3,2
A,I know yeah . yup .,3,2
B,but [=! clears throat] .,2,1
A,just have to be [BREATHES] . Suzy smiles and .,3,2
B,yup mhm .,3,2
A,[UNINTELLIGIBLE] [=! sound of disgust] . 0 . yuck .,2,2
B,[LAUGHS] . [BREATHES] .,3,2
